Plot_ID;Latitude;Longitude;Date;Vegtype;Slope;Aspect;Elevation;Cover_veg;Cover_bare;Cover_litter;Cover_herb;Cover_bryo;Cover_lichens;Cover_shrubs;Cover_trees
D132_C02;50.96534;5.64499;23/08/2019;shrubland;0;0;88.64;65;30;10;65;0.5;0;0;0
D132_C03;50.99937;5.67723;27/08/2019;shrubland;0;0;37.96;85;5;80;30;20;0;2;50
D132_C04;50.99879;5.65594;27/08/2019;shrubland;0;0;88.56;70;5;20;80;10;0;1;4
D132_C05;51.0074;5.6574;26/08/2019;forest;0;0;85.99;90;99;95;60;1;0;2;70
D132_C06;51.00621;5.65638;26/08/2019;forest;0;0;74.23;90;100;50;60;4;0;4;60
D132_C07;51.00231;5.6746;26/08/2019;forest;37;180;68.12;80;70;50;5;10;1;4;75
D132_C08;51.00752;5.67237;26/08/2019;forest;0;0;47.55;100;100;90;95;40;0;0;50
D132_C09;51.0028;5.69193;27/08/2019;forest;20;190;52.67;80;10;20;70;10;1;2;30
D132_C10;51.009058;5.4501468;28/08/2019;shrubland;3.81;156.12;79.78;85;1;30;60;10;0;0;0
D132_C11;51.0077471;5.4518842;28/08/2019;shrubland;5.18;172.23;71.33;95;1;15;90;4;0;0;0
D132_C12;51.0130506;5.4071993;28/08/2019;shrubland;5.86;155.99;67.84;98;1;2;98;80;2;0;0
D132_C13;51.0137251;5.4073756;28/08/2019;shrubland;6.3;353.89;66.31;80;1;30;80;50;2;0;0
D132_C14;50.9959902;5.4324868;28/08/2019;shrubland;7.84;325.5;76.66;70;2;40;60;40;0;2;0
D132_C15;50.9958894;5.4331091;28/08/2019;shrubland;7.12;141.82;78.09;60;10;40;60;10;0;4;0
D132_C16;50.9846204;5.4237545;28/08/2019;shrubland;0;0;60.92;70;2;50;60;30;0;0;0
D132_C17;50.9851091;5.4240932;28/08/2019;shrubland;0;0;60.33;70;0;50;70;20;0;0;0
D132_C18;51.0099758;5.5254216;29/08/2019;forest;0;0;81.79;80;1;60;50;40;0;0;60
D132_C19;51.0091884;5.5258917;29/08/2019;forest;0;0;81.42;90;0;95;10;2;0;0;90
D132_C20;51.0089147;5.5280324;29/08/2019;shrubland;0;0;81.22;50;40;10;50;10;4;0;0
D132_C21;50.9741645;5.6569538;29/08/2019;shrubland;14;8;74.43;100;0;10;100;4;0;2;0
D132_C22;50.9711588;56538783;28/08/2019;shrubland;0;0;87.93;50;2;40;50;60;0;0;0
D132_C23;50.9751327;5.6522905;29/08/2019;shrubland;18;170;68.26;50;1;30;50;10;0;0;0
D132_C24;50.9761449;5.6525218;29/08/2019;forest;13;175;76.64;80;0;90;40;2;0;4;40
D132_C25;50.97329;5.6497;30/08/2019;shrubland;26;350;65.14;90;2;2;90;10;1;0;0
D132_C26;50.97306;5.64971;30/08/2019;shrubland;30;350;77.37;90;2;5;90;15;1;5;0
D132_C27;50.98915;5.55036;30/08/2019;forest;0;0;81.2;70;1;4;4;95;0;35;40
D132_C28;51.05818;5.58161;30/08/2019;forest;0;0;84.21;80;1;95;1;1;0;50;70
D132_C29;51.06345;5.58946;30/08/2019;shrubland;0;0;81.44;95;40;40;50;20;0;0;70
D132_C30;51.00423;5.68952;43505;forest;34;345;65.08;90;2;4;30;90;0;4;20
D132_C31;51.0066;5.67038;43505;forest;28;150;50.7;30;40;30;12.5;30;0;1;30
D132_C32;50.95487;5.53975;43505;forest;0;0;88.89;70;1;70;50;50;0;10;40
D132_C33;50.95236;5.53984;43505;shrubland;0;0;89.02;95;2;5;95;60;0;1;0
D132_C34;50.95905;5.53329;43505;forest;0;0;86.86;80;1;40;30;60;0;30;50
D132_C35;50.92041;5.55596;43533;forest;10;175;75.84;40;4;4;20;70;0;4;4
D132_C36;50.92067;5.55138;43533;shrubland;8;185;71.89;80;20;20;70;10;0;0;0
D132_C37;50.92249;5.55413;43533;forest;15;0;75.75;95;2;80;15;15;0;15;70
D132_C38;50.92171;5.55534;43533;forest;0;0;85.43;80;0;95;60;1;0;4;70
